model_id,sysml_path,txt_path,split,quality,category,likert_score,similarity_percent,structure_score,behavior_score,data_score,token_recall_percent,parse_status,matched_terms,missing_terms
983,data/000983/000983.sysml,data/000983/000983.txt,agent,B,electronics,3,63.3,78.2,44.4,55,68.2,ok,Processor | Readout | Sensor | Flat Field Correction | IrradianceValue | processor,PhotonInputPort | calibratedPixels: Real ordered | pixelValues: Integer ordered | minWavelength: LengthValue | maxWavelength: LengthValue | Assemble Result
984,data/000984/000984.sysml,data/000984/000984.txt,agent,B,aerospace,3,62.8,87.1,40.3,39.4,67.8,ok,Capsule | Linkage | Chart | Drum | Arm | MechanicalLinkage,MechanicalDisplacementPort | PressureInputPort | ChartPositionPort | Convert Pressure To Displacement | measurementAccuracy: PressureValue | penPosition: DisplacementValue
985,data/000985/000985.sysml,data/000985/000985.txt,agent,B,electronics,4,75.4,87.2,55.7,76.4,79.8,ok,Barometer System | Processor | Display | Sensor | Power | PowerManagement,ProcessorInputPort | SensorOutputPort | DataOutputPort | Present Results | Initialize | Decision1
986,data/000986/000986.sysml,data/000986/000986.txt,agent,B,medical,3,63,71.1,50.8,59.5,67.1,ok,Bedwetting Alarm System | Vibration Motor | User Interface | Sensor Pad | Battery | MoistureSensorPad,MoistureOutputPort | evaluateThreshold.thresholdExceeded | currentReading MoistureReading | evaluateThreshold.thresholdExceeded | not evaluateThreshold.thresholdExceeded | not evaluateThreshold.thresholdExceeded
987,data/000987/000987.sysml,data/000987/000987.txt,agent,B,aerospace,3,56.2,63.2,50.1,47.4,58.3,ok,Processor | Sensor | CommunicationModule | SignalProcessor | OpticalSensor | Monitor,signalStream: IntensityLevel • timestamps: TimestampValue | signalStream: IntensityLevel • timestamps: TimestampValue | OpticalInputPort | DataOutputPort | peakSeparation DurationValue | Communicator
988,data/000988/000988.sysml,data/000988/000988.txt,agent,B,electronics,3,60.7,89.3,34.6,38.4,62.9,ok,ElectricalContact | fixedContact | Metal | strip | temperatureSensor | movableContact,Calculate Thermal Strain | bendingRadius LengthValue | stripWidth: LengthValue | bendingAngle: ISQ AngleAndSolidAngleValue | Calculate Strain | Sense Temp
989,data/000989/000989.sysml,data/000989/000989.txt,agent,B,medical,3,58.4,71.8,44.2,50.5,59.9,ok,Channel | Source | Drain | Gate | FunctionalizedGate | TargetBiomolecule,ElectricalSensingPort | ElectricalBiasPort | FluidicOutputPort | ThresholdVoltageShift | Modulate Channel Conductance | thresholdShift ThresholdVoltageShift
990,data/000990/000990.sysml,data/000990/000990.txt,agent,B,medical,4,71.6,86.3,50.1,68.9,76.2,ok,Detector | Channel | Chamber | Pump | MicrofluidicChannel | BiologicalSample,rate: VolumeFlowRateValue | channelWidth: LengthValue | channelDepth: LengthValue | Incubate | Generate | Assign
991,data/000991/000991.sysml,data/000991/000991.txt,agent,B,medical,3,65.1,77.3,48.5,65.6,65.5,ok,Recognition Layer | Preparation Unit | Transducer | Amplifier | Processor | Display,SampleOutputPort | SampleInputPort | PowerSupplyPort | recognitionSignalFlow | transducedSignalFlow | processedDataFlow
992,data/000992/000992.sysml,data/000992/000992.txt,agent,B,automotive,3,59.1,69.7,42,54.5,65.7,ok,VisualIndicator | RadarSensor | Blind Spot Monitor System | Right Indicator | Left Indicator | Right Radar,ControlOutputPort | RadarOutputPort | AlertInputPort | detection.range > warningThreshold | No Threat | targetSide: ZoneSide | Controller
993,data/000993/000993.sysml,data/000993/000993.txt,agent,B,aerospace,4,76,88.8,63.9,63.2,79.2,ok,Heat Sink | Thermistor | Amplifier | Processor | Absorber | CryogenicHeatSink,linkLength: ISQ LengthValue | surfaceArea: ISQ AreaValue | Calculate | Amplify | Assign | Done
994,data/000994/000994.sysml,data/000994/000994.txt,agent,B,automotive,4,79.3,86.5,65.5,82.1,82.6,ok,Boost Gauge System | Processor | Manifold | Display | Sensor | BoostPressureSensor,ProcessorOutputPort | ProcessorInputPort | PressureInputPort | SensorOutputPort | DisplayInputPort | Assign
995,data/000995/000995.sysml,data/000995/000995.txt,agent,B,industrial,3,64.9,89,45.4,38.8,68.6,ok,Bourdon Gauge System | Linkage | Pointer | Tube | Dial | LinkageMechanism,scaleCalibration CalibrationFactor | Display | Deform | Assign | Done | RotationalPort
996,data/000996/000996.sysml,data/000996/000996.txt,agent,B,automotive,3,63.3,73,45.8,65.3,67.5,ok,Brake Fluid Pressure Sensing Unit | Sensing Element | Adc | AnalogSignal | BrakeFluid | TemperatureCompensation,FluidInterfacePort | referenceTemp: TemperatureValue | Temp Compensator | Compensate | Validate | Digitize
997,data/000997/000997.sysml,data/000997/000997.txt,agent,B,medical,4,66.1,71.5,48.9,78.5,69.5,ok,Display | Sensor | Power | AnalysisModule | BreathSensor | BreathAlcoholConcentration,calibrationDate: String | Controller | Analyzer | Initialize System | Reset System | Done
998,data/000998/000998.sysml,data/000998/000998.txt,agent,B,unknown,4,69.3,86.9,55.3,47.3,73.8,ok,Liquid Supply | Cameras | ExpansionMechanism | SuperheatedLiquid | ChargedParticle | ChamberVessel,fieldStrength: MagneticFluxDensityValue | expansionCmd: ExpansionCommand | pistonPosition: LengthValue | Expand Volume | Reset System | Assign
999,data/000999/000999.sysml,data/000999/000999.txt,agent,B,electronics,3,64.9,77.4,44.7,65.8,68.8,ok,Temperature Sensor | Heating Element | Sample Chamber | Insulation | DataAcquisitionSystem | ThermalInsulation,temperatureChange ThermodynamicTemperatureValue | initialTemperature: ThermodynamicTemperatureValue | Controller | Compute Results | Done | CalorimetryMode
1000,data/001000/001000.sysml,data/001000/001000.txt,agent,B,electronics,3,65,85.1,51.3,45.1,64.1,ok,Capacitance Probe System | Power Supply | Oscillator | Processor | Display | Probe,Generate Excitation Signal | outputAmplitude: VoltageValue | Recalibrate | Assign | ExcitationPort | SensingPort
1001,data/001001/001001.sysml,data/001001/001001.txt,agent,B,electronics,3,64.9,74.6,55.6,58.6,65.3,ok,Capacitive Displacement Sensing Unit | Processor | Probe | Adc | RawCapacitanceSignal | Compensate,DigitalConversionPort | digitalInput: DigitalSample | minRange: LengthValue | maxRange: LengthValue | Conditioner | Calibrate
1002,data/001002/001002.sysml,data/001002/001002.txt,agent,B,electronics,3,59.3,66.2,50.4,54.4,62.5,ok,Capacitive Sensing System | Signal Conditioner | Excitation Gen | Electrode | CapacitanceMeasurement | CapacitanceConverter,calibrationCmd: CalibrationCommand | electrodeArea: ISQ AreaValue | status: MeasurementReady | Processor | Calculate Delta | No Detection
1003,data/001003/001003.sysml,data/001003/001003.txt,agent,B,electronics,4,78.3,88.3,73.8,71.6,73.1,ok,CO2 Sensing Unit | Signal Processor | Power Supply | CarbonDioxideSensor | AirSample | Warm Up,Fork | VoltageValue | Join Node | calibrationFactor | processingDelay: DurationValue | responseTime: DurationValue
1004,data/001004/001004.sysml,data/001004/001004.txt,agent,B,electronics,3,58.4,76.2,45.6,36.1,61.3,ok,Processor | Battery | Sensor | Alarm | AudioVisualAlarm | ElectrochemicalSensor,AlarmControlPort | PowerSupplyPort | threshold1 AlarmThreshold | threshold2 AlarmThreshold | currentConcentration: COConcentration : | exposureStartTime: TimeValue
1005,data/001005/001005.sysml,data/001005/001005.txt,agent,B,electronics,4,69,81.8,57.7,59.3,69.3,ok,Carbon Paste Electrode System | Graphite | Binder | ElectronTransfer | GraphitePowder | BinderMaterial,totalConductivity: > ISQ electricalConductivityValue | transferRate: > ISQ frequencyValue | graphiteRatio: > ScalarValues Real | binderRatio: > ScalarValues Real | Equilibrate | Assign
1006,data/001006/001006.sysml,data/001006/001006.txt,agent,B,aerospace,4,75.9,84.1,74.9,54.2,79.1,ok,Secondary | Corrector | Primary | RadianceMeasurement | RefractiveCorrector | SecondaryMirror,surfaceAccuracy: LengthValue | focalPosition: LengthValue | Detect Radiation | SolidAngleValue | : >> radiation | >> radiation
1007,data/001007/001007.sysml,data/001007/001007.txt,agent,B,industrial,3,63.8,59.7,58.4,76.8,67.3,ok,Catalytic Bead Sensing Unit | MeasurementData | CombustibleGas | GasInletPort | Catalytic Reaction | heatingController,Resistor1 | Resistor2 | Fork | Done | resistor1: FixedResistor | resistor2: FixedResistor
1008,data/001008/001008.sysml,data/001008/001008.txt,agent,B,aerospace,4,67.4,87.1,59.2,37.8,67.3,ok,Transmitter | Processor | Receiver | CloudMeasurement | LaserTransmitter | OpticalReceiver,DetectorInputPort | updateFrequency: ISQ FrequencyValue | emissionTime: ISQ TimeValue | accuracy: ISQ LengthValue | pulseRate: ISQ FrequencyValue | Assign
1009,data/001009/001009.sysml,data/001009/001009.txt,agent,B,electronics,3,60.9,65.9,55.4,50.7,66.1,ok,Horizontal Register | Vertical Register | DigitalImageData | AnalogVoltage | horizontalRegister | verticalRegister,AnalogOutputPort | columns: PixelCount | chargeCapacity: ElectronCount | Adc | photosite | Expose
1010,data/001010/001010.sysml,data/001010/001010.txt,agent,B,electronics,4,68.4,77.7,59,57.6,72.2,ok,Transistor | Reference | Membrane | Readout | IonSelectiveMembrane | ReferenceElectrode,ElectricalBiasPort | ChemicalInputPort | inputCurrent: ElectricCurrentValue | inputCurrent: ElectricCurrentValue | drainCurrent ElectricCurrentValue | effectiveGateVoltage
1011,data/001011/001011.sysml,data/001011/001011.txt,agent,B,electronics,3,64.1,78,47.6,56.5,67.3,ok,Signal Processor | Controller | Sensor | Adc | ChemiresistiveSensor | ElectricalSignal,checkThreshold.alarmNeeded = false | checkThreshold.alarmNeeded = true | checkThreshold.alarmNeeded = false | checkThreshold.alarmNeeded = true | GasInputPort | checkThreshold.alarmNeeded = true | Activate Alarm
1012,data/001012/001012.sysml,data/001012/001012.txt,agent,B,medical,4,69,89.3,59.9,38.2,69.9,ok,Chemoreceptor System | Transmitter | Processor | Receptor | Effector | ReceptorPotential,potentialInput: ElectricalOutputPort | ElectricalOutputPort | ChemicalInputPort | NeuralOutputPort | neuralOutput: NeuralOutputPort | effectorOutput: EffectorPort
1013,data/001013/001013.sysml,data/001013/001013.txt,agent,B,electronics,4,75.2,99,50,57.1,80.6,ok,Compressive Sensing System | Reconstructor | Projector | Validator | Encoder | Source,validateQuality.errorNorm < convergenceTol | Accept Result | tolerance ScalarValues Real | solution ScalarValues Real | validateQuality.errorNorm < convergenceTol | regularizationParameter: ScalarValues Real | convergenceTolerance: ScalarValues Real
1014,data/001014/001014.sysml,data/001014/001014.txt,agent,A,electronics,4,69.3,70.8,61.8,74,72.5,ok,Lens Array | Adc | Illuminate | Convert | lensArray | cisModule,DocumentInputPort | opticalInputPort | adcInputPort | Afe | Digitize | IlluminanceValue
1015,data/001015/001015.sysml,data/001015/001015.txt,agent,B,automotive,3,64.6,75.6,51.1,59,67.3,ok,Crankshaft Position Sensing Unit | Crankshaft | processor | sensor | Tooth Wheel | CrankshaftPositionData,SensorOutputPort | Decision | Fork | External | FrequencyValue | Join Node
1016,data/001016/001016.sysml,data/001016/001016.txt,agent,B,aerospace,4,69.4,92.2,45.4,53.5,73.4,ok,Thermal Link | Refrigerator | Amplifier | Absorber | Sensor | Vacuum,currentTemp TemperatureValue | Controller | Digitize | Amplify | Analyze | monitoringActive Boolean
1017,data/001017/001017.sysml,data/001017/001017.txt,agent,B,automotive,3,61,71.9,59.5,34.8,63.6,ok,Curb Feeler System | Contact Sensor | Continuous Monitoring | contactSensor | Feeler Rod | CurbFeelerAssembly,ProximityOutputPort | ContactInputPort | AlertOutputPort | AlertInputPort | detectionThreshold: LengthValue | proximityInfo: ProximityData
1018,data/001018/001018.sysml,data/001018/001018.txt,agent,B,electronics,4,66.1,88,49.5,48.1,64.6,ok,Controller | Amplifier | Shunt | Adc | AnalogToDigitalConverter | CurrentMeasurement,measurementRange: ISQ ElectricCurrentValue | MeasurementOutputPort | ElectricalInputPort | referenceVoltage: ISQ VoltageValue | current: ISQ ElectricCurrentValue | sensorId: String
1019,data/001019/001019.sysml,data/001019/001019.txt,agent,B,automotive,4,70.4,75.2,63.1,66.3,74,ok,Cylinder Head | Warning | Sensor | Gauge | TemperatureSensor | IndicatorGauge,SensorOutputPort | GaugeInputPort | GaugeIndicationStatus | inputVoltage: VoltageLevel | Update Needle Position | inputVoltage VoltageLevel
1020,data/001020/001020.sysml,data/001020/001020.txt,agent,B,electronics,4,67,76.1,59.3,54.2,70.5,ok,Daly Detector System | Scintillator | Processor | Dynode | Vacuum | Pmt,IonInputPort | kineticEnergy: ISQ energy | Scintillate Step | Assign | Done | ControlPort
1021,data/001021/001021.sysml,data/001021/001021.txt,agent,B,industrial,4,72.3,82.7,63.9,57.3,76.4,ok,Defect Detector System | Processing | Reporting | Imaging | ProcessingSubsystem | ReportingSubsystem,analyzeForDefects.foundDefects->size() > 0 | analyzeForDefects.foundDefects->size() > 0 | Generate Clean Report | ReportOutputPort | ImageInputPort | analyzeForDefects.foundDefects->size() > 0 | defects: DefectData
1022,data/001022/001022.sysml,data/001022/001022.txt,agent,B,electronics,4,78.7,84.1,81.4,59,80.4,ok,Processor | Display | Housing | Sensor | Power | PressureSensor,ControlPort | Decision1 | control | gravity: AccelerationValue | measurementAccuracy: Real | updateFrequency: Real
1023,data/001023/001023.sysml,data/001023/001023.txt,agent,B,electronics,3,63.5,87.2,40.3,46.9,66.1,ok,Dew Warning System | Visual Indicator | Alert Generator | Ambient Sensor | Surface Sensor | Risk Analyzer,surfaceTemp: ISQ ThermodynamicTemperatureValue | ambientTemp: ISQ ThermodynamicTemperatureValue | ambientTempConnection | surfaceTempConnection | delta ISQ ThermodynamicTemperatureValue | temperatureDelta: ISQ ThermodynamicTemperatureValue
1024,data/001024/001024.sysml,data/001024/001024.txt,agent,B,medical,4,70.4,85.1,55.6,52.7,76.9,ok,Image Reconstruction | Tensor Computation | Tractography | Magnet | Table | DiffusionWeightedImage,dxx: DiffusionCoefficient | dxy: DiffusionCoefficient | Assign | Done | repetitionTime ISQ TimeValue | bValues BValue
1025,data/001025/001025.sysml,data/001025/001025.txt,agent,A,electronics,3,62.5,79.2,58.2,29.4,64.3,ok,Digital Holography System | Reconstructor | Splitter | Recorder | Laser | InterferencePattern,objectArm: ObjectIlluminator | resolution: ISQ LengthValue | depthRange: ISQ LengthValue | Emit | Done | OpticalPort
1026,data/001026/001026.sysml,data/001026/001026.txt,agent,B,electronics,3,65.2,75.3,66.5,34.1,69,ok,Digital Sensor System | Conditioner | Processor | Adc | PhysicalSignal | Transmit,MeasurementOutputPort | physicalValue: ScalarValues Real | amplitude: ISQ VoltageValue | sensorID: SensorIdentifier | bitResolution: ScalarValues Integer | Wait Interval
1027,data/001027/001027.sysml,data/001027/001027.txt,agent,B,electronics,4,69.3,85.1,65.2,42.1,68.6,ok,Displacement Receiver System | Signal Conditioner | Data Processor | Sensor Core | Adc | AnalogToDigitalConverter,MechanicalInputPort | voltage: ElectricPotentialValue | filterCutoff: FrequencyValue | processingLatency: TimeValue | analogInput ElectricPotentialValue | excitationVoltage: ElectricPotentialValue
1028,data/001028/001028.sysml,data/001028/001028.txt,agent,B,electronics,4,81.5,93.2,67.2,73,86.2,ok,Displacement Sensing Unit | Conditioner | Processor | Sensor | MeasurementProcessor | DisplacementSensor,sensitivity: Real default 0.1 | resolution: Real default 16.0 | Processing | Done | Join Node
1029,data/001029/001029.sysml,data/001029/001029.txt,agent,B,aerospace,3,62.6,85.4,44.7,37.3,66.2,ok,Structural Interface | Docking Ring | Latches | Sensors | Seal | ActiveDockingMechanism,evaluateAlignment.withinTolerance == false | evaluateAlignment.withinTolerance == true | evaluateAlignment.withinTolerance == false | evaluateAlignment.withinTolerance == true | currentAlignment AlignmentData | releaseCmd ReleaseCommand
1030,data/001030/001030.sysml,data/001030/001030.txt,agent,B,electronics,3,61,68.2,46.3,63.9,65.2,ok,Doppler Radar System | Transmitter | Controller | Processor | Receiver | Antenna,bandwidth: ISQ FrequencyValue | txFreq CarrierFrequency | pulseWidth: ISQ TimeValue | RFTransmitter | RFReceiver | Transmit Pulse
1031,data/001031/001031.sysml,data/001031/001031.txt,agent,B,automotive,4,66.9,86,44.7,56.6,70.6,ok,Dynamic Torque Sensing Unit | Strain Gauge | Conditioner | Processor | Adc | StrainGaugeBridge,calibrationDate: String | Attempt Recovery | Wait Recovery | Check Power | Digitize | External
1032,data/001032/001032.sysml,data/001032/001032.txt,agent,B,electronics,4,67.9,81.9,62.5,50.1,65,ok,Electro Optical Sensing Unit | Converter | Processor | Detector | Window | Tia,OpticalInputPort | incidentRadiation OpticalRadiation | inputSignal PhotocurrentSignal | inputNoiseVoltage: Real | Amplify | ResponsivityValue
1033,data/001033/001033.sysml,data/001033/001033.txt,agent,B,aerospace,4,71.4,82.3,48,83.5,74.1,ok,Electrochemical Fatigue Crack Sensing System | Electrodes | StructuralComponent | ElectrolyteFluid | measurementCircuit | dataAcquisition,stressLevel: PressureValue | Initialize | conditionedOutput
1034,data/001034/001034.sysml,data/001034/001034.txt,agent,B,electronics,4,78.9,87.3,68.9,72.3,82.2,ok,Electrochemical Gas Sensing Unit | Reference Electrode | Working Electrode | Counter Electrode | Electrolyte | Membrane,GasInputPort | Compensate | Digitize | gain Real | catalystType: String | material: String
1035,data/001035/001035.sysml,data/001035/001035.txt,agent,B,electronics,4,67,79,51.5,62.3,70,ok,Semiconductor | Insulator | Reference | MeasurementResult | ElectricalSignal | Calculate,Measure Temp | Measure Cap | Calibrate | ConcentrationValue | pHValue | pHUnit
1036,data/001036/001036.sysml,data/001036/001036.txt,agent,B,electronics,3,58.3,76.5,46.8,30.6,62.9,ok,Substrate | Driver | Sensor | DisplacementSensor | PiezoelectricFilm | ControlProcessor,MechanicalOutputPort | sensorReading LengthValue | response: MechanicalOutput | controlAlgorithm: String | Controller | Generate Strain
1037,data/001037/001037.sysml,data/001037/001037.txt,agent,B,aerospace,4,71.2,85,52.2,71,72.8,ok,Electron Launch Vehicle System | Engines | RutherfordEngine | TelemetryData | FirstStage | Payload,Deploy Payload Action | verifyOrbit.orbitAchieved | Deploy Payload Action | Execute Stage Separation | verifyOrbit.orbitAchieved | duration FlightTime : | verifyOrbit.orbitAchieved
1038,data/001038/001038.sysml,data/001038/001038.txt,agent,B,electronics,2,30.7,37.9,13,42.1,33,ok,Electron Multiplier System | Vacuum Chamber | ElectronPulse | Dynode | Anode | vacuumChamber,pulseDuration: TimeValue | secondaryEmissionCoeff: SecondaryEmissionCoefficient | Collector | Dynode10 | Dynode1 | Dynode2
1039,data/001039/001039.sysml,data/001039/001039.txt,agent,B,electronics,4,75.1,82.2,66.7,69.9,77.5,ok,Electronic Nose System | Metal Oxide Sensors | Polymer Sensors | ConductivePolymerSensor | SensorArray | OdorSignature,AirIntakePort | Assign | Done | PowerSupplyPort | powerInput | operatingTemperature: ISQ ThermodynamicTemperatureValue
1040,data/001040/001040.sysml,data/001040/001040.txt,agent,B,electronics,4,74.1,89.9,56.9,66.6,75.6,ok,Electronic Tongue System | ChemicalSensor | LiquidSample | SensorArray | Process | Analyze,Acquire Sensor Readings | responseTime: DurationValue | Introduce | Acquire | Present | Done
1041,data/001041/001041.sysml,data/001041/001041.txt,agent,B,electronics,3,59.8,70.3,51.6,41.9,65.2,ok,Enclosure | Support | Cap | Rod | ProtectiveEnclosure | InsulatingSupport,leaf1Charge: ISQ ElectricChargeValue • leaf2Charge: ISQ ElectricChargeValue | leaf1Charge: ISQ ElectricChargeValue • leaf2Charge: ISQ ElectricChargeValue | leaf1: MetalLeaf | leaf2: MetalLeaf | chargeSource ChargeCarrier | leafAngle: ISQ PlaneAngleValue
1042,data/001042/001042.sysml,data/001042/001042.txt,agent,B,electronics,4,71.8,83.8,69.5,42.1,76,ok,EDS System | Signal Processor | Sample Chamber | Electron Gun | Workstation | Detector,identifiedElements ElementIdentification | continuumXRays XRayPhoton | energyChannels: XRayEnergy ordered | intensityCounts: CountRate ordered | processingSpeed: CountRate | Done
1043,data/001043/001043.sysml,data/001043/001043.txt,agent,B,automotive,4,67.1,77,62.8,44.7,72,ok,Engine Coolant Temperature Sensing Unit | EngineCoolantTemperatureSensor | SignalConditioningCircuit | ThermistorElement | Coolant | temperatureSensor,CoolantInterfacePort | SignalOutputPort | threadSpecification: String | calibrationDate: DateTime | sensorIdentifier: String | timestamp: DateTime
1044,data/001044/001044.sysml,data/001044/001044.txt,agent,B,automotive,3,60.7,62.4,55.3,58.1,66,ok,Engine Knock Control System | Ignition System | Ecu | FuelInjectionSystem | CombustionChamber | KnockSensor,baseTimingAdvance: Real | currentFuelRate: Real | Cylinder1 | Cylinder2 | Cylinder3 | Cylinder4
1045,data/001045/001045.sysml,data/001045/001045.txt,agent,B,automotive,4,66.6,77,55.3,61.9,67.1,ok,Conditioner | Controller | Display | Warning | Sensor | Power,ExhaustSensingPort | AnalogSignalPort | DigitalDataPort | process.processedData.warningActive == false | process.processedData.warningActive == true | process.processedData.warningActive == false
1046,data/001046/001046.sysml,data/001046/001046.txt,agent,A,electronics,3,55.6,60.9,57.4,36.6,57.9,ok,OpticalCavity | LaserSource | Mirror | controller | detector | actuator,DataOutputPort | nominalSpacing: LengthValue | currentSpacing: LengthValue | freeSpectralRange: FrequencyValue | PhotoDetector | Stabilize
1047,data/001047/001047.sysml,data/001047/001047.txt,agent,B,aerospace,4,70.8,89,49.7,60.6,74.6,ok,Faraday Cup System | Bias Supply | Collector | Amplifier | Vacuum | Shield,Suppress Secondary Emission | CurrentOutputPort | BeamInputPort | particlesPerSecond: Real | Amplify | Output
1048,data/001048/001048.sysml,data/001048/001048.txt,agent,B,electronics,3,65.9,77.5,53.6,55,70.1,ok,Spectrum Analyzer | Light Source | Circulator | Fbg | BroadbandLightSource | FiberBraggGrating,BidirectionalOpticalPort | OpticalOutputPort | OpticalInputPort | port2: BidirectionalOpticalPort | Processor | Compute
1049,data/001049/001049.sysml,data/001049/001049.txt,agent,A,aerospace,3,64,66.8,68.7,42.1,68.6,ok,Secondary Mirror | GuidanceData | thermalController | secondaryMirror | centroidEngine | motionTracker,OpticalInputPort | OperationalMode | IntensityValue | AngleValue | Validate Measurement | reflectionPort
1050,data/001050/001050.sysml,data/001050/001050.txt,agent,B,electronics,4,70.9,79,62.4,64.7,72.7,ok,Processor | Display | Sensor | Logger | Power | DisplayController,process.isValidated | valid: Boolean | maxCurrent: ElectricCurrentValue : | outputVoltage: ElectricPotentialValue : | Counter | CounterPort | Decision1
1051,data/001051/001051.sysml,data/001051/001051.txt,agent,B,unknown,3,64.3,86.4,44.5,43.2,68.1,ok,Transducer | Navigation | Processor | Analyzer | Recorder | FishSchool,soundSpeed ISQ SpeedValue | elapsedTime < surveyDuration | waterDepth ISQ LengthValue | elapsedTime < surveyDuration | Update Time | Receive
1052,data/001052/001052.sysml,data/001052/001052.txt,agent,B,industrial,4,66.8,81.6,56.4,41.4,73.4,ok,Thermal Sensor | Ir Sensor | Uv Sensor | Processor | Gather Data | thermalSensor,analyzeSignature.flameDetected | flameConfirmed: Boolean | SuppressionReceivePort | ProcessorInputPort | SensorOutputPort | AlarmReceivePort | tempReading TemperatureValue
1053,data/001053/001053.sysml,data/001053/001053.txt,agent,A,electronics,4,66.3,81.6,53.4,43.6,73.3,ok,Flame Detector System | Ir Sensor | TemperatureSensor | FlickerDetector | FlameSignature | AnalysisModule,AlarmControlPort | PowerInputPort | irReading: IRIntensityValue | flickerInput: Port | irInput: Port | tempReading: ThermodynamicTemperatureValue
1054,data/001054/001054.sysml,data/001054/001054.txt,agent,B,electronics,3,61.5,73.2,44.9,53.4,68.2,ok,Scintillator | Controller | ScintillatorPanel | PhotodiodeMatrix | ReadoutCircuitry | DataOutputPort,PowerSupplyPort | XRayInputPort | chargeDistribution ElectricChargeValue | opticalOutput PowerValue | lightInput PowerValue | currentTemperature: ThermodynamicTemperatureValue
1055,data/001055/001055.sysml,data/001055/001055.txt,agent,B,industrial,3,63.3,79.6,53.7,40.3,65.1,ok,Signal Conditioner | Calibration Data | Sensing Element | FlowSensor | communicationModule | signalConditioner,spanCorrection: Real default 1.0 | MeasurementOutputPort | FluidOutletPort | FluidInletPort | conditionedSignalOut | processedDataOutput
1056,data/001056/001056.sysml,data/001056/001056.txt,agent,B,electronics,3,56,64.1,40.4,62.7,57.6,ok,Sensing Chamber | Detector | OpticalFilter | Photodetector | Condition | Excite,filteredExcitationPath | filteredEmissionPath | detectorDataPath | excitationLED: LEDExcitationSource | filterSpec ISQ LengthValue | Controller
1057,data/001057/001057.sysml,data/001057/001057.txt,agent,B,electronics,4,70.2,81.5,57.7,63.2,72.4,ok,Fluxgate Compass System | Excitation Circuit | Heading Calculator | Calibration Module | Signal Processor | Sensor,current: ISQ ElectricCurrentValue | oscillator | Calibrate | Calculate | Excite | Assign
1058,data/001058/001058.sysml,data/001058/001058.txt,agent,B,electronics,4,70.6,89.6,52.2,53.3,75,ok,Force Gauge System | Amplifier | Processor | Display | Sensor | Power,MeasurementOutputPort | ForceInputPort | calibrationCmd: CalibrationCommand | nominalVoltage: ISQ VoltageValue | inputVoltage: ISQ VoltageValue | Digitize
1059,data/001059/001059.sysml,data/001059/001059.txt,agent,B,electronics,4,74.2,93.2,57,59,75.6,ok,Free Fall Sensing Unit | Accelerometer | Processor | FreeFallDetector | FreeFallEvent | SignalProcessor,Continuous Measurement | Initialize | Fork | Done | Join Node | initComplete Boolean
1060,data/001060/001060.sysml,data/001060/001060.txt,agent,B,electronics,4,71.6,84.7,62.4,57.8,72,ok,Frequency Domain Sensing Unit | Digital Signal Processor | Analog Front End | Communication Interface | Signal Processor | Power Management,SpectrumOutputPort | SignalInputPort | DataOutputPort | magnitudes: AmplitudeValue ordered | outputVoltage: ISQ VoltageValue | inputVoltage: ISQ VoltageValue
1061,data/001061/001061.sysml,data/001061/001061.txt,agent,B,automotive,4,73.5,92.2,73.2,23.4,79.1,ok,Sensing Element | Processor | Adc | SignalConditioningCircuit | CapacitiveSensingElement | AnalogToDigitalConverter,diagnosticMessage: String | calibrationDate: String | sensorId: String | tankId: String | referenceVoltage: ElectricPotentialValue | operatingTempMin: TemperatureValue
1062,data/001062/001062.sysml,data/001062/001062.txt,agent,B,medical,3,58.3,68.6,54.6,35.1,62.5,ok,Transmit Coil | Receive Coil | Shim Coils | Reconstructor | Console | Magnet,rfAmplifier: RFAmplifier | Generate Gradient Waveform | digitalData KSpaceData | targetFlipAngle Real | gradientCommand: GradientWaveform | appliedGradient: GradientWaveform
1063,data/001063/001063.sysml,data/001063/001063.txt,agent,B,electronics,3,52.1,70.7,32.2,36.8,57.2,ok,Magnet | CalibratedScale | PermanentMagnet | SpringMechanism | MagneticField | PointerNeedle,MechanicalOutputPort | ElectricalInputPort | Calculate Electromagnetic Torque | magneticFluxDensity MagneticFluxDensityValue | fluxDensity: MagneticFluxDensityValue | currentAngle: PlaneAngleValue
1064,data/001064/001064.sysml,data/001064/001064.txt,agent,B,electronics,3,60.6,69.3,47.8,57.9,64.3,ok,Heat Sink | Thermocouple | Amplifier | Absorber | CoolantFlow | Calibrate,RadiationInputPort | CoolantInputPort | Generate Thermoelectric Voltage | timestamp: ISQ TimeValue | Calibrator | Daq
1065,data/001065/001065.sysml,data/001065/001065.txt,agent,B,industrial,4,67.5,83.4,56.2,44.5,71.8,ok,Gas Detector System | Processor | Sensor | Logger | Alarm | Power,severity == AlarmSeverity none | severity == AlarmSeverity none | voltage: ISQ EnergyValue | responseTime: ISQ DurationValue | Set Off | DiagnosticPort
1066,data/001066/001066.sysml,data/001066/001066.txt,agent,B,energy,4,67.6,80.1,53.1,56,73.4,ok,Temperature Sensor | Data Storage | Display | FlowMeasurementUnit | PressureTransducer | ComputationModule,Compute Volume Increment | Compute Energy Increment | gasOutputPath | gasInputPath | Processor | Wait For Next Sample
